Region,Latitude,Longitude,Soil_Type,Soil_pH,Organic_Carbon,Clay_pct,Silt_pct,Sand_pct,Avg_Temp_C,Annual_Rainfall_mm,Humidity_pct,Sunlight_hours,Irrigation_Available,Water_Source,Elevation_m,Past_Crop,Yield_kg_per_ha,Suitable_Crop,Best_Planting_Month,Growing_Duration_days
Anuradhapura,9.53,79.95,Silty,6.7,1.55,40.9,38.9,22.2,25.9,1638,79,6.7,Yes,River,969.4,Groundnut,3433,Paddy,May,150
Monaragala,7.15,81.28,Silty,7.2,0.96,39.5,30.8,49,21.3,1076,66,6.1,No,Well,838.4,Paddy,2348,Maize,June,365
Monaragala,8.22,80.03,Laterite,6.8,1.11,44.5,32.2,23.2,25,909,70,5.3,No,River,967.7,Paddy,3386,Chilli,April,90
Matara,7.34,80.93,Loam,5.7,0.99,42.3,49.1,48.7,23.8,1728,62,7.2,No,Well,921.2,Tea,4498,Coconut,April,150
Ampara,7.67,81.58,Clay,7,0.79,40.6,23.4,30,20.4,1017,75,8.6,Yes,River,1080.2,Vegetables,3428,Tea,October,100
Ampara,8.04,81.46,Silty,5.7,1.78,16.6,28.1,55.1,21.6,991,63,7.7,Yes,River,966,Chilli,3618,Groundnut,June,120
Hambantota,8.04,80.33,Sandy,6.7,1.03,18.1,34.8,52.5,29.2,903,81,6,Yes,Well,782,Paddy,4272,Chilli,April,100
Ampara,6.69,81.42,Silty,6.9,1.31,32.1,45.1,58.3,20.2,1376,80,7.3,No,Well,1024.3,Paddy,1221,Tea,October,115
Kurunegala,8.57,79.8,Sandy,5.6,0.76,30.9,24.9,55.4,31.2,1454,73,8.8,No,River,677,Vegetables,3408,Groundnut,June,90
Kandy,6.24,79.83,Clay,6,1.61,28.7,28.3,57.3,21,1601,64,7.9,No,River,366.3,Groundnut,3948,Groundnut,June,180
Galle,6.44,80.94,Silty,7.3,1.13,26.9,22,54.3,29.6,1226,61,7.8,Yes,River,7.1,Coconut,4331,Paddy,May,180
Hambantota,5.91,80.49,Silty,6.7,1.67,27.9,41.2,47.7,30.8,1681,80,8.9,Yes,Rainfed,842.1,Onion,1581,Chilli,April,150
Nuwara_Eliya,6.36,80.53,Clay,6,1.24,32.1,27.1,26.8,31.3,1086,75,8.2,No,River,888,Onion,2665,Chilli,April,120
Hambantota,7.75,80.87,Silty,6.9,0.95,15.1,31.7,30.9,30.4,1815,78,5.5,Yes,Well,1458.2,Vegetables,3318,Chilli,April,80
Kurunegala,8.26,80.16,Sandy,6.7,1.37,22.8,33.3,28.5,23.5,1529,68,6.4,Yes,Rainfed,545.4,Chilli,1716,Maize,June,180
Nuwara_Eliya,9,80.2,Silty,6.5,0.87,30.5,46.7,44.1,24,1542,73,8.9,Yes,Well,594.2,Chilli,3022,Groundnut,June,80
Galle,6.32,80.72,Loam,7.5,1.27,36.7,32.3,40.1,25.1,1131,79,7,Yes,Rainfed,306.7,Groundnut,1753,Maize,June,180
Kurunegala,9.22,81.23,Laterite,6.9,1.11,20.2,24.4,54.7,21.7,982,72,5.4,No,Rainfed,110.4,Coconut,2034,Onion,May,90
Polonnaruwa,8.81,80.98,Sandy,6.3,1.89,31.4,35.7,58.1,20.3,1411,75,6.8,Yes,Well,1160.3,Vegetables,2434,Maize,June,180
Kandy,7.49,80.36,Loam,7.1,0.78,36.4,48.9,36.2,30.4,1577,80,7.8,Yes,Rainfed,378.3,Chilli,2758,Coconut,April,110
Galle,9.54,80.62,Clay,7.3,1.6,28.3,38.2,40.3,26.6,1005,65,9,No,Well,915.3,Onion,2463,Paddy,May,150
Ampara,9.76,80.12,Sandy,5.8,0.94,15.8,49.5,58.9,27.3,1946,62,6.3,No,River,1033.2,Onion,2625,Chilli,April,115
Polonnaruwa,6.7,79.94,Laterite,5.9,1.11,28.5,45.2,31,31.1,1978,73,7.1,Yes,Rainfed,709.5,Maize,1905,Groundnut,June,180
Matara,7.38,81.29,Laterite,5.9,1.24,23.9,21.1,51.7,28,1500,62,8.5,Yes,Well,1315.1,Groundnut,1388,Maize,June,120
Galle,9.51,80.3,Clay,6.9,1.88,42.9,39.8,29,28.3,1945,79,6.4,Yes,Rainfed,668.5,Tea,975,Coconut,April,115
Matara,8.71,80.14,Clay,6.7,1.02,18.7,28.6,47.3,29.4,1097,78,5.4,Yes,Well,430.9,Coconut,1525,Paddy,May,80
Nuwara_Eliya,6.09,81.11,Sandy,6.7,0.82,34.6,36.8,30.1,21.4,928,82,8.8,No,River,1344.5,Groundnut,2953,Tea,October,100
Polonnaruwa,8.95,80.97,Silty,7.4,1.11,16.6,28.4,55.3,24.3,943,76,7,No,River,1293,Paddy,3709,Tea,October,365
Kandy,9.13,81,Clay,7.1,0.84,28.4,30.5,42.5,31.6,1546,62,7,No,Rainfed,250.2,Vegetables,1426,Paddy,May,365
Ampara,8.83,80.23,Silty,5.8,0.87,31.6,47.7,27.4,31.1,968,66,7.5,Yes,Rainfed,43.8,Chilli,1202,Onion,May,115
Ampara,9.02,80.24,Loam,6.2,1.45,23.9,26.2,29,30.6,1954,80,5,Yes,Well,139.5,Maize,3572,Coconut,April,100
Kurunegala,9.12,80.22,Laterite,6.4,0.78,28.7,46.2,39.8,25.4,1056,64,8.7,No,Well,433.4,Onion,1929,Coconut,April,120
Ampara,6.63,80.13,Silty,6.3,0.74,19.9,20.9,58.5,30.3,1235,77,6.4,Yes,Rainfed,1458.5,Maize,4321,Chilli,April,115
Ratnapura,6.82,81.05,Laterite,6.8,1.63,24.1,22.7,50.8,20.6,1805,80,6.6,No,Well,840,Tea,3443,Coconut,April,80
Hambantota,8.37,81.41,Silty,7.3,1.17,33.6,45.6,39.5,21.8,1141,68,5.7,No,Well,563,Vegetables,2009,Chilli,April,90
Anuradhapura,9.44,81.18,Loam,6.1,0.86,24.1,38.9,33.5,25,1167,68,6.5,No,Well,1333.6,Groundnut,1871,Maize,June,115
Kandy,7.13,81.3,Clay,6.6,1.03,42,42.4,42,25.8,1607,74,8.2,No,Rainfed,682.4,Maize,2738,Paddy,May,365
Polonnaruwa,8.19,80.57,Loam,7.1,1.53,33.9,26.3,49.9,23.2,1204,82,8.2,No,River,476.3,Groundnut,1093,Maize,June,110
Ratnapura,8.56,81.04,Clay,6.3,1.06,28.2,36.1,51.4,24.3,1139,66,8.7,No,River,1412.1,Vegetables,1235,Tea,October,365
Kandy,7.66,80.47,Clay,5.8,1.34,16.2,42.1,33,22,1180,84,6.6,No,Well,1275,Chilli,1451,Tea,October,100
Polonnaruwa,8.68,80.8,Laterite,6.4,0.86,30,38.8,48.8,25.9,1440,75,7.8,Yes,Rainfed,1266.3,Chilli,3666,Coconut,April,80
Jaffna,9.41,80.72,Loam,5.6,1.46,37.9,34.2,46.3,29.5,1963,85,7,No,Well,770.9,Onion,2701,Coconut,April,120
Jaffna,8.33,80.14,Silty,7.4,1.11,23,48.8,58.4,27.9,1815,62,8.2,No,River,1185.2,Maize,839,Tea,October,150
Matara,8.01,80.54,Loam,5.6,1.52,39.2,40.3,57.2,21.3,1213,63,7.9,Yes,Well,273.1,Chilli,3292,Maize,June,110
Kandy,7.61,81.63,Laterite,6.4,1.75,22.6,47.2,51.6,25.9,1300,81,6.5,No,River,862,Vegetables,2368,Vegetables,March,115
Jaffna,8.15,80.27,Clay,6.6,1.5,39.7,41.9,48.9,28.4,1411,82,6.3,Yes,Rainfed,1475.8,Groundnut,2690,Paddy,May,110
Polonnaruwa,7.29,80.05,Laterite,7.5,1.08,17.6,42.1,31,26.4,1977,71,6,No,Well,440,Onion,1592,Coconut,April,100
Matara,7.43,80.6,Sandy,5.8,1.03,41,22.4,53.8,24.7,1090,78,7.3,Yes,Rainfed,1192.6,Chilli,2842,Maize,June,80
Ampara,7.97,81.3,Sandy,5.7,1.13,30,30.8,37.1,27.5,1293,82,8.9,Yes,Well,738.3,Vegetables,4423,Maize,June,120
Polonnaruwa,6.16,80.91,Silty,5.5,0.91,23.9,45.8,30.9,31.6,1702,61,5.8,Yes,Well,64.5,Vegetables,1072,Vegetables,March,115
Matara,6.79,81.09,Laterite,5.8,0.94,23,27,35.4,21.1,1960,74,5.4,No,Well,1145.7,Onion,1850,Tea,October,80
Kandy,8.02,80.16,Silty,5.9,1.73,28,23.5,53.4,24.7,1071,81,5.5,Yes,Well,257,Paddy,1699,Paddy,May,115
Ratnapura,7.58,80.98,Silty,6.8,1.2,45,29.8,25.9,24.9,1150,70,8.1,No,Well,949.1,Groundnut,1720,Paddy,May,120
Kurunegala,7.2,80.41,Sandy,5.9,1.27,21.6,26.6,38.2,26.9,1148,68,6.4,No,Rainfed,133.1,Vegetables,2201,Maize,June,115
Ampara,8.75,81.39,Silty,5.5,1.47,18.1,47.8,39.7,21.8,923,80,5.9,No,Rainfed,1420.6,Onion,3827,Tea,October,80
Galle,8.61,81,Sandy,7.2,1.47,32.6,46,21.5,22.1,1565,68,6.4,No,River,441.1,Coconut,4178,Maize,June,115
Ratnapura,6.55,80.18,Clay,6.2,0.79,29.7,35,27.8,23.4,1638,60,7.6,No,Well,343.6,Vegetables,1548,Onion,May,80
Nuwara_Eliya,9.33,79.92,Laterite,6.2,1.78,30.7,21.8,53.1,31.5,1563,84,7.2,No,River,198.1,Chilli,2809,Coconut,April,100
Polonnaruwa,7.83,79.88,Silty,6.1,0.93,35,41.4,53.2,28.8,978,75,8,No,Rainfed,1419.3,Chilli,3157,Groundnut,June,90
Nuwara_Eliya,8.79,80.51,Sandy,7.5,1.64,23,38.7,31.7,27.9,976,80,6.4,Yes,River,1069.3,Groundnut,2731,Chilli,April,80
Ratnapura,8.14,80.31,Loam,5.8,1.7,42.3,49.1,55,29.8,1131,81,6.8,No,Rainfed,1113.8,Vegetables,2406,Chilli,April,110
Matara,9.79,81.03,Silty,7.3,1.63,28.1,36.8,50.9,21.5,1219,62,5.4,No,Well,751.6,Tea,1510,Vegetables,March,90
Galle,8.83,80.75,Clay,7.1,1.45,18.9,30.1,36.7,30.3,1765,64,5.3,Yes,River,714.7,Coconut,2606,Groundnut,June,115
Ampara,8.66,80.31,Clay,5.7,0.72,37.3,35.6,49.9,27.1,1075,68,6.8,No,River,169.5,Onion,2284,Paddy,May,80
Ampara,8.94,80.08,Loam,7.5,1.17,34.3,49.4,58.5,24,949,68,6.2,Yes,River,842,Coconut,3744,Chilli,April,80
Ampara,6.46,80.04,Sandy,6,1.49,24.5,40.9,38.4,29.8,1333,76,7.5,Yes,River,374.1,Onion,3625,Groundnut,June,110
Galle,6.7,81.44,Silty,5.7,1.2,33.6,40.2,29.5,29.6,1358,76,5.2,No,Well,1465.8,Vegetables,1296,Paddy,May,150
Anuradhapura,8.68,80.26,Sandy,7.2,1.82,21.6,27.2,57.7,30.1,1396,72,5.5,No,Rainfed,1195.9,Coconut,1128,Groundnut,June,90
Galle,7.83,81.04,Clay,6.9,1.1,28.3,42.3,44.1,21.4,1810,65,8.5,Yes,Rainfed,622.4,Maize,4160,Groundnut,June,90
Kurunegala,8.84,81.34,Sandy,6.7,1.08,42,42.5,24.2,31.6,1008,70,7.3,No,Well,231.3,Paddy,2781,Chilli,April,80
Galle,6.3,80.97,Clay,5.8,1.05,19,29.5,42.9,31.5,1674,74,7.8,Yes,Rainfed,1179.1,Paddy,3974,Coconut,April,115
Ratnapura,7.99,81.43,Sandy,6.5,1.13,26.6,34.5,40,24.3,1272,72,8.4,Yes,River,187.5,Tea,1015,Maize,June,120
Anuradhapura,7.38,80.55,Loam,7.1,1.42,39.6,28.8,54.2,20.8,1241,63,6.9,No,Well,288.1,Coconut,2748,Maize,June,120
Ampara,7.68,81.62,Laterite,6.1,1.62,44.1,27.8,41.2,22,1926,76,8,Yes,Rainfed,321.2,Coconut,2796,Groundnut,June,90
Ratnapura,8.26,80.05,Loam,6.1,1.56,28.6,20.8,30.2,31.9,1173,62,7.1,No,Well,837.6,Chilli,3985,Chilli,April,150
Ratnapura,7.86,79.99,Loam,5.5,1.75,30.2,28.6,47,26.8,1607,69,5.9,No,Well,1181.6,Onion,1161,Maize,June,120
Monaragala,8.01,81.05,Laterite,5.8,1.85,32.2,36.6,41.7,24.3,1203,78,6.4,Yes,Rainfed,474.9,Groundnut,1690,Coconut,April,180
Hambantota,7.8,81.59,Laterite,7.3,1.76,43,20,29.3,23.5,1458,61,7,Yes,Rainfed,131.6,Maize,2304,Paddy,May,120
Anuradhapura,7.49,81.34,Silty,6.4,0.72,40.7,28.5,42.9,23.1,1765,74,6.3,No,Well,699.5,Maize,4004,Vegetables,March,365
Ratnapura,8.91,79.95,Silty,7.5,1.66,20.1,46.4,52.9,28,1870,68,6.3,No,Well,1123.4,Vegetables,4274,Onion,May,90
Hambantota,5.95,80.33,Loam,6.3,0.97,28.1,37.8,21.1,25,1823,60,6.3,No,Rainfed,336.4,Tea,4473,Groundnut,June,150
Hambantota,8.23,81.57,Loam,6.9,0.87,28.9,38.2,45.2,31.6,1540,65,5.5,Yes,Well,333.8,Paddy,4349,Coconut,April,115
Anuradhapura,8.11,80.28,Clay,6.1,1.53,38.7,32.1,34,28.2,1174,84,5.3,No,Rainfed,1421.1,Vegetables,822,Paddy,May,80
Monaragala,8.69,81.28,Clay,6.2,1.12,33.1,40.3,31.7,29.5,1627,73,5.2,Yes,Well,1431.5,Coconut,977,Paddy,May,100
Nuwara_Eliya,8.24,81.37,Silty,5.9,0.77,34.6,25.7,35.7,23.5,1681,85,5.4,Yes,Well,1485.7,Groundnut,1346,Tea,October,110
Matara,9.12,80.74,Silty,6.2,0.88,44.9,44.6,33.7,21,912,73,6.4,Yes,Well,1212.5,Tea,2091,Tea,October,90
Kurunegala,9.64,80.53,Clay,6.6,0.7,17.2,23.5,53.3,25.9,1383,74,7.4,No,Rainfed,286.3,Onion,3871,Paddy,May,150
Matara,7.24,80.66,Clay,7.5,1.87,21.7,39.7,31,23.8,1828,70,5.8,Yes,River,321.9,Maize,4103,Tea,October,80
Galle,6.79,80.23,Sandy,6.8,0.73,27.2,30.2,49.3,22.4,1439,68,8.6,No,Rainfed,513.6,Maize,1491,Maize,June,100
Ampara,7.55,81.49,Sandy,5.9,0.97,25.4,42.4,23.8,31.4,1243,66,8.2,Yes,Well,480.6,Maize,3093,Groundnut,June,365
Kurunegala,7.02,80.66,Clay,5.6,1.24,15.6,36.5,58.1,25.3,1859,69,7.1,No,River,1435,Coconut,4194,Groundnut,June,90
Galle,8.3,81.48,Sandy,5.8,1.16,17.8,33.6,44.9,22.1,1071,71,7.9,No,River,1184.7,Coconut,2516,Maize,June,115
Ratnapura,9.46,80,Laterite,6.6,1.89,35.4,25.1,48.3,22.4,1127,65,6.5,Yes,Well,1087.4,Coconut,1183,Tea,October,110
Ampara,6.44,81.68,Silty,7,0.75,41.4,39.1,31.9,23.4,1656,66,5.1,No,Rainfed,283,Chilli,2494,Paddy,May,100
Polonnaruwa,6.29,80.64,Silty,7.4,1.37,30.4,49.2,36.5,32,1288,67,8.6,Yes,River,1364.7,Paddy,2190,Maize,June,115
Anuradhapura,6.9,79.89,Clay,5.5,1.58,31.2,44.8,29,23.2,1684,71,5.5,Yes,River,1242.7,Onion,2937,Tea,October,120
Kurunegala,8.73,79.87,Loam,6.5,1.91,22.7,21.8,57.3,23.9,1073,76,8.8,Yes,Rainfed,249.6,Maize,2423,Maize,June,80
Kurunegala,8.21,81.22,Clay,6.4,1.51,38,31.3,39.5,27.9,1177,81,7.3,Yes,Rainfed,1307.4,Maize,864,Paddy,May,90
Ratnapura,6.3,81.05,Sandy,6.8,1.74,37.6,47.8,45.2,23.5,1072,67,6.2,Yes,River,412,Vegetables,4478,Maize,June,80
Nuwara_Eliya,9.48,81.32,Loam,6.6,0.81,32.7,35.1,49.4,22.6,1948,65,7,Yes,Rainfed,125.9,Chilli,2811,Coconut,April,100
Hambantota,8.98,80,Sandy,6.9,1.2,21.4,39.9,34.8,21.9,1346,69,7,Yes,River,986.9,Maize,2552,Maize,June,180
Ampara,5.99,79.87,Laterite,6.8,1.19,17.9,47.4,48.8,23.8,1271,82,5.1,No,Well,982.4,Onion,4332,Groundnut,June,180
Ratnapura,8.44,80.77,Sandy,5.7,1.85,16.9,46.2,47,21.3,916,60,6.4,Yes,Rainfed,146.9,Maize,1377,Chilli,April,110
Jaffna,8.91,80.54,Laterite,7.1,0.9,32.8,35.1,48.2,20.2,1069,77,8,Yes,River,481.7,Coconut,1500,Tea,October,120
Monaragala,7.36,80.68,Laterite,5.7,0.9,39.8,33.1,39.6,29.7,1363,72,7,No,Rainfed,1489.3,Coconut,3790,Vegetables,March,365
Hambantota,6.17,81.68,Sandy,6.9,1.13,40.7,30.2,35.3,21.7,975,64,6,No,Rainfed,1019.2,Paddy,1765,Tea,October,150
Anuradhapura,6.2,81.64,Sandy,6.3,0.77,28.9,41.6,28.9,29.3,1462,68,6.3,Yes,River,1096.5,Onion,3757,Groundnut,June,90
Hambantota,6.31,81.59,Laterite,6.5,0.94,38.5,28.6,53,29.6,1401,66,8.5,Yes,Well,323.3,Onion,1805,Onion,May,90
Nuwara_Eliya,9.18,81.29,Loam,7.3,1.95,43.4,27.5,44.3,26.5,1744,82,7.1,Yes,River,122.8,Maize,923,Paddy,May,100
Hambantota,9.45,80.47,Laterite,7.3,1.26,23.3,30.7,37.8,23.7,1626,72,7.1,No,Rainfed,419,Tea,2713,Onion,May,180
Anuradhapura,6.38,80.58,Silty,7.1,1.52,26.9,25.3,57.8,21.7,1391,74,8.8,Yes,River,377.1,Maize,1528,Onion,May,365
Nuwara_Eliya,6.82,80.84,Laterite,6.5,1.64,42.9,40.9,21.9,28.8,1147,75,6.3,No,Rainfed,355.6,Maize,3604,Tea,October,100
Matara,6.55,81.38,Loam,7,1.18,25.1,38.5,54,27.2,1700,76,6.9,Yes,River,293.2,Paddy,3172,Vegetables,March,365
Kurunegala,6.63,79.93,Silty,6.5,0.89,42.4,34.5,59.9,27.9,1679,72,8.2,Yes,Well,864.3,Tea,4217,Paddy,May,180
Kurunegala,9.17,80.61,Clay,7.2,0.97,44.4,31.7,55.5,20.1,1069,60,8,No,Well,495.5,Vegetables,3697,Chilli,April,115
Monaragala,7.2,79.96,Clay,6.3,1.11,34.9,47.3,52.4,31.1,1906,68,6.1,Yes,Well,1231.4,Maize,1469,Paddy,May,100
Galle,7.11,80.78,Loam,7.4,1.53,39.5,20.9,35,20.8,971,65,5.6,Yes,Well,280,Groundnut,3761,Chilli,April,150
Matara,6.79,81.51,Laterite,7.4,1.22,37.5,43.1,29.3,24.4,961,77,7.8,Yes,River,699.6,Groundnut,3174,Chilli,April,365
Matara,8.27,81.29,Sandy,7,0.71,36,47.1,49.4,24.8,1106,61,6,No,Well,25.4,Onion,3275,Maize,June,120
Ampara,7.38,80.23,Loam,6.1,1.38,24.2,33.4,32.2,20,1900,74,8.7,Yes,River,725.1,Onion,3879,Tea,October,100
Hambantota,8.8,81.65,Silty,5.8,1.9,16.7,36.5,27,26,1472,65,5.5,Yes,Rainfed,88.5,Tea,2923,Paddy,May,115
Kurunegala,6.7,81.07,Silty,7.2,1.76,25.3,48.3,51.5,29,1767,84,6.3,No,Rainfed,1466.7,Groundnut,2524,Paddy,May,150
Anuradhapura,8.97,79.82,Clay,5.8,1.77,35,26.4,32.5,29.9,1151,68,5.2,No,Rainfed,1186.9,Coconut,3156,Paddy,May,180
Kandy,8.25,80.29,Silty,7.2,1.73,18.1,35.6,56.6,30.6,1439,68,7.8,Yes,Well,737.7,Coconut,1902,Coconut,April,110
Kandy,6.35,80.3,Loam,6.5,1.12,15.4,34.2,53.6,25.9,1294,83,8.6,Yes,Well,134.4,Tea,1476,Maize,June,90
Nuwara_Eliya,7.52,79.93,Silty,6.3,1.69,19.2,27.8,53.9,27.6,1811,70,7.5,No,Well,890.7,Vegetables,3081,Coconut,April,90
Kurunegala,9.27,81.62,Loam,7.3,0.89,36.5,44.6,50.9,21,925,84,8.8,Yes,Rainfed,1139.4,Maize,1665,Tea,October,100
Kurunegala,9.5,80.71,Sandy,6.7,1.56,44.2,47,55.2,25.9,1168,61,5.5,Yes,Rainfed,290.1,Onion,1096,Maize,June,180
Monaragala,7.72,81.5,Clay,6.7,1.53,44.5,43.5,52.2,21.9,1068,68,5.4,No,Rainfed,854.5,Tea,802,Coconut,April,80
Kandy,7.78,80.41,Silty,6.6,0.73,29.8,25.9,44.1,24.4,1845,77,8.4,Yes,Rainfed,1222.2,Groundnut,3051,Tea,October,150
Kurunegala,9.48,80.04,Loam,6.2,1.72,41.1,22.6,31.8,24,1414,82,8.4,Yes,River,1153.5,Tea,2140,Maize,June,120
Monaragala,8.19,80.7,Laterite,7.1,1.87,37.1,38.2,55.5,25.1,1345,66,8.3,No,River,1205.5,Groundnut,3584,Onion,May,90
Hambantota,6.03,80.02,Clay,6,1.05,30,21.7,53.6,26.9,1394,83,8.2,Yes,Well,1319.6,Onion,2188,Paddy,May,365
Jaffna,9.46,80.72,Sandy,7.4,1.76,32.2,40.2,38.9,30.8,1969,75,6.4,Yes,Well,1406.8,Coconut,2598,Chilli,April,115
Ampara,6.87,81.55,Loam,7.3,0.81,19.1,35.9,21.6,24.7,1835,80,5.9,Yes,Rainfed,611.3,Tea,2306,Onion,May,90
Polonnaruwa,8.15,80.79,Sandy,6.2,1.48,43.1,39.9,45.5,31.8,1677,70,8.7,No,River,855.3,Onion,3207,Coconut,April,100
Matara,6.55,80.97,Sandy,7,1.33,25.6,37.7,22,29.1,1220,65,6.2,Yes,River,1187,Onion,2118,Groundnut,June,150
Galle,6.03,80.1,Silty,6.6,1.41,28.4,32.7,57.1,26.1,1082,83,6.6,No,Well,1047.2,Chilli,4366,Paddy,May,150
Nuwara_Eliya,7.11,79.88,Silty,6.2,1.9,35.1,26,58.5,27.7,1914,83,7.8,No,River,1493.3,Vegetables,4264,Onion,May,80
Jaffna,8.94,80.01,Loam,7.5,1.83,25,29.2,27.6,21.2,1365,72,6.2,Yes,Well,25.4,Groundnut,3938,Maize,June,110
Ampara,6.98,80.94,Laterite,5.6,1.72,22.6,35.7,47.1,30.1,1207,60,8.3,No,Rainfed,535.9,Chilli,4205,Maize,June,120
Ampara,6.76,79.98,Loam,6,1.06,33.9,39.6,23.7,27,1418,63,5.3,Yes,Rainfed,425.1,Coconut,2462,Maize,June,180
Ampara,6.73,80.51,Laterite,6.5,1.89,15.7,43.4,49.2,31.8,1910,74,8.2,Yes,Well,397.2,Onion,2785,Paddy,May,100
